id,company,state,website,email,score,source_kind,source_url,reasons,review_status,review_reason
370,Advantage Sign Co,Tennessee,https://advantagesignnashville.com,advantagesign@mindspring.com,65,mailto,https://advantagesignnashville.com,found as mailto; mailto link,accept,already applied second-pass candidate
372,Signs Now Memphis,Tennessee,https://www.signsnow.com/memphis,sales@signsnowmemphis.com,85,mailto,https://www.signsnow.com/memphis/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
377,Portland Laser Co.,Oregon,https://portlandlaser.co,pdxlaserco@gmail.com,80,mailto,https://portlandlaser.co/contact/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
386,Signs Now Portland,Oregon,https://www.signsnow.com/portland,help@signsnownw.com,75,mailto,https://www.signsnow.com/portland/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
389,SignWorks Signs and Graphics,Oregon,https://www.oregonsignworks.com,usasignworks@gmail.com,70,mailto,https://www.oregonsignworks.com,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
401,Custom Laser Specialty (CLS),Utah,https://customlaserspecialty.com,info@utcls.com,85,mailto,https://customlaserspecialty.com/contact-us/,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
42,ZLazr,Texas,http://zlazr.com/,fzlaser@yahoo.com,80,mailto,http://zlazr.com/pages/contact-us,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
43,Engrave Quick,Texas,https://engravequick.com/,engravequick@gmail.com,65,visible,https://engravequick.com/contact-us/,found as visible; visible page text; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
461,Lazerworx Design Studio,Kansas,https://lazerworx.com/,wichitagiftco@gmail.com,70,mailto,https://lazerworx.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
468,Lexington Engraving LLC,Kentucky,https://lexingtonengraving.com/,lexingtonengraving@gmail.com,70,mailto,https://lexingtonengraving.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
470,Nebraska Laser Engraving,Nebraska,http://www.nebraskalaserengraving.com/,trayten@aao.ltd,75,mailto,http://www.nebraskalaserengraving.com/contact/,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
473,Signs Now Omaha,Nebraska,https://www.signsnow.com/omaha/engraved-signs,sales@signsnownebraska.com,85,mailto,https://www.signsnow.com/omaha/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
489,Signs Now Tulsa,Oklahoma,https://www.signsnow.com/tulsa/signs/custom-plaques,signsnowtulsa@gmail.com,80,mailto,https://www.signsnow.com/tulsa/contact,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
490,Signs Now Oklahoma City,Oklahoma,https://www.signsnow.com/oklahomacity/engraved-signs,sales@signsnowokc.com,85,mailto,https://www.signsnow.com/oklahomacity/contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
50,American Laser Cutter,California,https://www.americanlaserco.com,americanlaserco@gmail.com,80,mailto,https://www.americanlaserco.com/contact-us/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
501,Imagine Laser Designs,Idaho,https://www.imaginelaserdesigns.com/,imaginelaserdesigns@gmail.com,70,mailto,https://www.imaginelaserdesigns.com/,found as mailto; mailto link; common small-business mailbox,accept,already applied second-pass candidate
51,Signs By Tomorrow Santa Clarita,California,https://www.signsbytomorrow.com/santaclarita,info@sbtsantaclarita.com,85,mailto,https://www.signsbytomorrow.com/santaclarita/sign-company-contact,found as mailto; mailto link; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
549,"Initial Ideas, Inc.",Vermont,https://www.initialideasvt.com/trophies-engraving,initialideastm@yahoo.com,80,mailto,https://www.initialideasvt.com/about,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
56,Signs Now Sacramento,California,https://www.signsnow.com/sacramento,downtown@signsnowsac.com,75,mailto,https://www.signsnow.com/sacramento/contact,found as mailto; mailto link; found on contact/about-style page,accept,already applied second-pass candidate
6,LA Laser Cutting,California,https://lalasercutting.com/,lalasercutting@gmail.com,80,mailto,https://lalasercutting.com/contact-us/,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
78,Miami Sign and Wraps,Florida,https://miamisignandwraps.com,info@majorleaguesigns.com,80,cloudflare,https://miamisignandwraps.com/about-us/,found as cloudflare; cloudflare-protected email; useful contact role; found on contact/about-style page,accept,already applied second-pass candidate
90,Trophy Magic / EtchMasters,Florida,https://www.trophymagic-etchmasters.com,tmem7308@aol.com,80,mailto,https://www.trophymagic-etchmasters.com/contact-us,found as mailto; mailto link; common small-business mailbox; found on contact/about-style page,accept,already applied second-pass candidate
